Solyc12g006940.2	17172
Gene	P-Value	Binary
Solyc02g086520.3	0.001372172901750965	0
Solyc03g025900.3	0.001372172901750965	0
Solyc01g111890.3	0.001372172901750965	0
Solyc01g112100.3	0.001372172901750965	0
Solyc03g078110.1	0.001372172901750965	0
Solyc04g081340.3	0.001372172901750965	0
Solyc08g066110.3	0.001372172901750965	0
Solyc06g062330.3	0.001372172901750965	0
Solyc11g040173.1	0.001372172901750965	0
Solyc09g083007.1	0.001372172901750965	0
Solyc10g076570.2	0.001372172901750965	0
Solyc07g062420.1	0.0014154103042400327	0
Solyc12g027540.3	0.0014281041171089236	0
Solyc03g013335.1	0.001446699618061999	0
Solyc07g049135.1	0.0014715574070251094	0
Solyc07g052590.1	0.0015266480101291163	0
Solyc02g031980.3	0.0015287930794850115	0
Solyc07g055150.3	0.0015298663438450659	0
Solyc08g074360.3	0.0015298663438450659	0
Solyc10g076915.1	0.0015298663438450659	0
Solyc12g042695.1	0.0015299354348511022	0
Solyc01g081210.5	0.0015309400947513588	0
Solyc03g026300.4	0.0015309400947513588	0
Solyc03g119920.1	0.0015309400947513588	0
Solyc04g077670.3	0.0015309400947513588	0
Solyc04g072210.4	0.0015309400947513588	0
Solyc06g008350.3	0.0015309400947513588	0
Solyc06g005360.3	0.0015309400947513588	0
Solyc03g123800.3	0.0015309400947513588	0
Solyc06g076540.1	0.0015309400947513588	0
Solyc07g049630.1	0.0015309400947513588	0
Solyc06g082300.4	0.0015309400947513588	0
Solyc06g083200.3	0.0015309400947513588	0
Solyc09g009960.3	0.0015309400947513588	0
Solyc07g042970.5	0.0015309400947513588	0
Solyc07g021610.1	0.0015309400947513588	0
Solyc07g007950.1	0.0015309400947513588	0
Solyc06g053620.5	0.0015309400947513588	0
Solyc07g055080.3	0.0015309400947513588	0
Solyc09g065290.4	0.0015309400947513588	0
Solyc06g076120.3	0.0015309400947513588	0
Solyc12g044420.1	0.0015309400947513588	0
Solyc10g011700.4	0.0015309400947513588	0
Solyc12g014120.3	0.0015309400947513588	0
